r,theta,phi
6870.055520000001,15.812364299999999,169.690719
6870.34983,19.591104200000004,171.0774179
6870.70921,23.379857799999996,171.9508866
6871.13013,27.174336100000005,172.5254272
6871.60857,30.9723271,172.9109775
6872.14011,34.7725663,173.1696945
6872.71987,38.574271,173.3393688
6873.34263,42.376924800000005,173.44431319999998
6874.00294,46.1801679,173.50089939999998
6874.69517,49.983738100000004,173.52057739999998
6875.41352,53.787436400000004,173.51161779999998
6876.15209,57.5911065,173.4801683
6876.90497,61.394620700000004,173.43091769999998
6877.66637,65.1978726,173.3675304
6878.43062,69.000771,173.2929389
6879.19224,72.8032366,173.20954709999998
6879.94607,76.6051987,173.119375
6880.6873,80.406594,173.02416639999998
6881.41154,84.2073652,172.9254703
6882.114860000001,88.0074604,172.8247061
6882.79379,91.8068321,172.7232182
6883.4453300000005,95.6054369,172.622325
6884.06693,99.4032347,172.5233659
6884.65642,103.2001875,172.42774939999998
6885.2120700000005,106.9962582,172.3370074
6885.732730000001,110.791409,172.2528586
6886.217890000001,114.5856015,172.1772878
6886.66751,118.3787955,172.11264889999998
6887.08189,122.1709456,172.061805
6887.46171,125.9619969,172.0283227
6887.80795,129.7518801,172.01675129999998
6888.12189,133.5405033,172.03303499999998
6888.4050099999995,137.3277393,172.0851425
6888.65893,141.113406,172.18406
6888.885429999999,144.89723370000002,172.34542199999999
6889.08634,148.6788102,172.5923167
6889.26342,152.4574799,172.9603855
6889.41829,156.2321457,173.5077457
6889.55244,160.0008508,174.3360322
6889.667240000001,163.75978270000002,175.64031749999998
6889.76381,167.5004971,177.84718039999998
6889.84298,171.200168,-177.9077951
6889.90528,174.7715025,-167.4296403
6889.950940000001,177.5640244,-125.609552
6889.9799299999995,176.3633436,-51.5707004
6889.99199,172.9849592,-32.2481109
6889.9866,169.32797219999998,-25.909799999999997
6889.96293,165.6030246,-22.929402
6889.91987,161.8517695,-21.2596948
6889.85613,158.0875528,-20.2310213
6889.77023,154.3159029,-19.5622896
6889.66049,150.5394993,-19.1153251
6869.67258,6.52651920000001,-4.558551899999999
6869.554520000001,3.2297563000000054,19.256472199999997
6869.50947,2.702541199999999,98.4382674
6869.53776,5.763128600000002,131.6610682
6869.63901,9.3894083,140.5826196
6869.81213,13.12038650000001,144.3753041
6870.055310000001,16.886740400000008,146.3940836
6870.3661,20.669057300000006,147.6025731
6870.741390000001,24.459839700000003,148.3754176
6871.17746,28.255579100000006,148.8877675
6871.67008,32.054406400000005,149.232294
