Br,Btheta,Blambda
10048.626900000001,-26857.406000000003,4571.026800000001
14006.5365,-26580.4355,4784.616300000001
17931.6822,-26032.8692,4992.4942
21754.5766,-25220.2719,5194.8006000000005
25406.974400000003,-24168.136300000002,5389.6618
28838.835300000002,-22914.321200000002,5578.0677000000005
32025.228000000003,-21497.2984,5761.6615
34950.2511,-19951.109200000003,5936.1205
37610.8071,-18302.6643,6098.944600000001
40004.306000000004,-16572.872,6246.437400000001
42144.0343,-14776.451000000001,6378.1493
44037.957,-12905.178800000002,6489.7398
45666.5674,-10947.6322,6573.7653
47005.551100000004,-8895.5996,6629.5469
48025.661400000005,-6757.063300000001,6685.561500000001
48717.5555,-4634.327200000001,6622.8194
48985.0218,-2312.6969,6688.785000000001
48806.540400000005,-19.843700000000002,6702.195500000001
48165.471600000004,2173.3068000000003,6761.157
47062.1281,4155.5094,6950.6182
45521.2174,5689.5838,7484.9604
43603.1452,6041.9682,8841.8601
41359.0173,-599.8063000000001,11937.4174
38885.772300000004,-12427.349900000001,3701.8158000000003
36281.679000000004,-13644.1402,-18.361900000000002
33618.512500000004,-14030.1841,-1301.4086
30991.9739,-14138.7936,-1832.4775000000002
28481.6264,-13996.7657,-2124.3109
26157.973400000003,-13623.4882,-2309.8782
24086.7573,-13063.7369,-2452.2599
22316.5328,-12376.488500000001,-2573.2037
-45050.6091,-3694.7081000000003,-559.0325
-45642.593,-2342.0364,378.45550000000003
-46157.4941,-544.0496,980.6897
-46557.7618,-1164.1736,190.8878
-46784.8655,-2665.5163000000002,-382.11220000000003
-46772.1907,-4364.698600000001,-626.1644
-46479.2505,-6307.9232,-1018.7575
-45836.6811,-8360.0064,-1462.3227000000002
-44822.569800000005,-10397.6303,-1779.8633
-43434.8743,-12402.7844,-2022.5896
-41698.8461,-14336.745700000001,-2195.3939
-39640.3108,-16159.9199,-2288.8636
-37306.0455,-17851.993300000002,-2296.6752
-34731.596000000005,-19406.8161,-2216.9508
-31953.891300000003,-20820.052,-2053.0269000000003
-29004.1895,-22095.471100000002,-1806.3495
-25911.3675,-23241.349400000003,-1488.0683000000001
-22694.7423,-24270.0413,-1111.1870000000001
-19364.187700000002,-25190.7485,-688.8302
-15928.0017,-26009.1552,-238.4387
-12386.5581,-26729.578800000003,226.1789
-8739.8109,-27352.275100000003,686.8553
-4979.0654,-27869.0374,1130.6570000000002
-1108.3285,-28261.4146,1543.4418
2871.4317,-28509.0063,1918.0348000000001
6946.489100000001,-28578.7605,2251.9624
11083.6667,-28436.3925,2542.0786000000003
15235.9596,-28058.9202,2787.3969
19348.9657,-27432.514600000002,2994.5846
23368.9864,-26549.4455,3171.2835
27229.6542,-25415.2851,3317.7527
30873.8652,-24054.947,3442.0214
34261.510200000004,-22506.2389,3545.0234
37371.4538,-20800.1685,3627.5741000000003
40185.5183,-18966.168100000003,3688.0600000000004
42699.2571,-17030.6009,3722.1321000000003
44910.0206,-15007.0414,3727.0350000000003
46811.9366,-12903.566200000001,3699.5835
48391.1125,-10728.294300000001,3635.2984
49624.957200000004,-8497.7196,3510.1647000000003
50517.600000000006,-6287.0837,3279.8237000000004
51046.4679,-4090.7715000000003,2999.1715
51178.9199,-1683.3475,3038.0261
50879.6615,690.2413,2799.4373
50134.5782,2972.4461,2622.096
48997.022600000004,5086.215700000001,2561.7328
47498.0415,6983.0388,2740.1458000000002
45680.958900000005,8492.8838,3531.2672000000002
43602.050800000005,8806.3945,6131.5939
41291.454900000004,-1027.0886,11997.2095
38776.7888,-11277.6589,6625.4885
36232.5918,-13224.839100000001,3946.8056
33649.4056,-14037.771200000001,2794.0697
31070.6823,-14447.103700000001,2065.5877
28554.968,-14580.834,1447.0458
26171.819600000003,-14475.423900000002,869.2032
23981.3269,-14185.1965,302.4375
22028.3096,-13771.7211,-262.3711
-44807.0026,-3672.3205000000003,-1795.2614
-45229.112100000006,-2810.7502,-1182.1843000000001
-45682.3568,-2113.0445,60.3352
-46165.396100000005,-884.5076,1035.6528
-46630.681800000006,-1382.2178000000001,460.06820000000005
-47014.8451,-2523.3645,-121.8516
-47237.375100000005,-3958.9118000000003,-677.9142
-47282.7252,-5566.3027,-726.4751
-47073.261900000005,-7340.161700000001,-1485.3843000000002
-46532.9603,-9249.8186,-1928.3417000000002
-45644.313,-11241.1037,-2275.1462
-44390.3105,-13272.868400000001,-2552.4968000000003
-42769.744600000005,-15302.884100000001,-2753.1052
-40796.896400000005,-17308.9011,-2873.9592000000002
-38466.856700000004,-19266.7367,-2910.913
-35791.162000000004,-21143.885700000003,-2868.3183000000004
-32784.9972,-22916.8669,-2750.1669
-29471.9349,-24560.9074,-2564.1237
-25868.146800000002,-26055.7792,-2319.7493
-22006.7462,-27372.043800000003,-2025.4747
-17919.9389,-28491.4872,-1695.1969000000001
-13647.665500000001,-29395.176300000003,-1343.0829
-9232.9271,-30073.0318,-983.9085
-4715.158,-30516.9604,-629.5857
-135.2612,-30722.3725,-293.1001
4471.6111,-30687.3286,15.902000000000001
9067.5571,-30406.278100000003,289.81620000000004
13618.2036,-29879.9082,517.9594000000001
18082.515900000002,-29093.1522,697.224
22403.273800000003,-28054.6711,822.8861
26540.1434,-26773.6336,892.6218
30440.595500000003,-25264.3555,905.3761000000001
34064.065500000004,-23554.933500000003,859.5118
37369.692500000005,-21674.0186,755.0505
40337.0414,-19665.2465,599.4933
42955.538,-17554.1165,397.5007
45222.4853,-15376.578500000001,144.6528
47142.420000000006,-13140.736,-151.818
48703.854900000006,-10856.0048,-486.8007
49893.0029,-8516.7863,-940.1092000000001
50672.3706,-6214.3662,-1356.9716
51121.556300000004,-3998.0378,-1444.2254
51202.226800000004,-1753.3301000000001,-1845.0908000000002
50911.397000000004,383.85540000000003,-2193.5665
50274.4513,2447.5639,-2488.5133
49320.046800000004,4404.0653,-2670.8538000000003
48093.6887,6239.557400000001,-2664.6963
46642.993,7969.3707,-2306.8766
45005.3666,9593.670900000001,-1102.8246000000001
43215.5893,10374.7818,3248.1055
41284.868200000004,-1404.6371000000001,11869.607600000001
39176.034100000004,-9055.8073,9273.3524
37019.2476,-11491.655,7480.9048
34748.2528,-12810.953500000001,6520.71
32376.9277,-13734.423200000001,5787.4892
29951.9772,-14388.2014,5113.5298
27525.8799,-14820.0501,4464.8427
25157.558500000003,-15059.1769,3824.4147000000003
22902.016600000003,-15144.9693,3188.67
-45275.7057,-2293.8815,-1972.26
-45457.7388,-1933.0822,-1495.6784
-45729.2505,-2040.6402,101.6063
-46099.308600000004,-1385.9170000000001,1253.5262
-46534.780900000005,-1791.0172,1088.7017
-46975.1376,-2658.2466,826.3100000000001
-47343.5472,-3805.1278,544.5187000000001
-47596.948300000004,-5175.822700000001,390.70640000000003
-47637.1716,-6815.1853,127.32430000000001
-47382.774000000005,-8630.131300000001,-136.7619
-46789.310300000005,-10592.7346,-340.8364
-45823.4259,-12671.253400000001,-509.7855
-44453.575600000004,-14826.973,-645.143
-42659.9125,-17021.2696,-744.2709
-40436.7145,-19206.0173,-810.9895
-37786.3958,-21343.0828,-846.3548000000001
-34716.0164,-23392.941000000003,-856.8699
-31242.1051,-25314.5396,-843.9183
-27389.8492,-27069.8335,-810.7221000000001
-23186.0752,-28617.997600000002,-760.0032
-18675.5741,-29916.2481,-689.8031000000001
-13915.6638,-30927.3103,-605.9251
-8972.9548,-31628.0435,-515.7728000000001
-3910.4828,-31999.7249,-429.72740000000005
1198.0287,-32032.306,-360.13
6283.4262,-31723.074200000003,-322.1523
11275.0254,-31075.266900000002,-329.94120000000004
16097.845000000001,-30098.792400000002,-399.47860000000003
20684.416800000003,-28817.193300000003,-540.5961
16135.102200000001,-12040.2899,-2828.7214000000004
17048.8043,-12209.786900000001,-2326.4626000000003
