r,theta,phi,Br,Btheta,Bphi
6888.6842400000005,143.322448,-68.9070282,20418.5397,-15278.8024,2840.1873
6888.91023,147.1051444,-68.6985839,22450.6461,-15248.531700000001,3368.7448
6889.111690000001,150.8852281,-68.3856607,24601.685400000002,-15144.745,3874.2903
6889.290150000001,154.66181569999998,-67.92112949999999,26828.593,-14932.1497,4340.3585
6889.44703,158.4333775,-67.22511899999999,29071.640000000003,-14595.207900000001,4742.4882
6889.58367,162.1970527,-66.1506725,31266.6271,-14148.460000000001,5041.4204
6889.70132,165.9468728,-64.3952079,33356.3367,-13635.0062,5139.294400000001
6889.801060000001,169.6681668,-61.224677299999996,35262.2382,-13266.336000000001,4832.8365
6889.88371,173.31366659999998,-54.326324199999995,37050.387500000004,-13119.8639,3955.3784
6889.94968,176.6286541,-32.2718085,38741.5738,-13126.5862,-416.7814
6889.9990800000005,177.4076701,45.175059399999995,40256.2079,-3405.5027,-12169.0238
6890.03168,174.4530906,81.394913,41763.1385,3382.2302,-11421.402600000001
6890.0469,170.8615909,90.8899612,43027.835100000004,4017.7018000000003,-10378.923
6890.0439400000005,167.1567346,94.86059259999999,44170.3049,3514.8,-9794.9612
6890.02177,163.414186,96.9570936,45195.619,2585.848,-9328.4416
6889.979179999999,159.6545878,98.2068055,46060.683000000005,1384.8681000000001,-8893.295900000001
6889.91472,155.8857534,99.0043599,46734.054500000006,3.8475,-8440.6275
6889.82679,152.1112597,99.532809,47188.5517,-1550.421,-7955.776900000001
6869.86541,8.592939600000008,38.0941992,-45326.7062,-3854.3627,1469.4564
6869.71645,5.016397600000005,49.375280499999995,-45795.2972,-2331.2434000000003,1274.2003
6869.63966,2.3502459999999985,95.87723609999999,-46133.086,-504.9125,1075.8616
6869.6357,3.862414700000002,166.6316276,-46337.9081,-620.4639000000001,212.3702
6869.70449,7.303993800000001,-175.8614246,-46378.569500000005,-2193.7555,228.8128
6869.845310000001,10.991501600000007,-169.9265276,-46212.549900000005,-3896.6243000000004,529.363
6870.05672,14.741462600000006,-167.0914034,-45806.3053,-5691.602,908.5145
6870.3366000000005,18.51589,-165.4901174,-45154.6135,-7386.6810000000005,1465.4550000000002
6870.68219,22.3022737,-164.4992508,-44155.4077,-9338.6268,1715.6302
6871.09009,26.095309500000006,-163.85371089999998,-42807.4239,-11171.8667,2039.7914
6871.556280000001,29.892358200000004,-163.4220499,-41122.0601,-12893.212300000001,2344.5548
6872.07629,33.6919503,-163.1317573,-39139.8381,-14460.024500000001,2613.2512
6872.64524,37.493194700000004,-162.93956609999998,-36919.586,-15827.5393,2836.9093000000003
6873.25802,41.2955136,-162.8180483,-34543.2664,-16979.811700000002,3017.7441000000003
6873.90925,45.098510600000004,-162.7489561,-32089.3214,-17940.0639,3159.6164000000003
6874.59338,48.9019003,-162.719656,-29606.254800000002,-18744.855900000002,3266.5855
6875.30472,52.7054692,-162.7211012,-27130.844100000002,-19432.7766,3347.7817
6876.037429999999,56.5090512,-162.7466194,-24678.2984,-20055.1689,3413.3182
6876.78561,60.3125128,-162.7911579,-22235.951,-20659.2972,3468.7901
6877.543310000001,64.1157432,-162.8507947,-19771.7086,-21277.9964,3521.5579000000002
6878.304730000001,67.9186475,-162.9224119,-17243.8001,-21928.3148,3579.4272
6879.06434,71.7211429,-163.00347109999998,-14606.762200000001,-22610.8465,3649.7079000000003
6879.81702,75.5231566,-163.0918544,-11818.308700000001,-23308.8408,3738.3692
6880.557940000001,79.3246242,-163.18574809999998,-8846.869200000001,-23987.101300000002,3853.5481
6881.28264,83.1254877,-163.2835542,-5677.7379,-24603.1467,3995.954
6881.98705,86.9256942,-163.38382149999998,-2313.1338,-25103.4974,4169.1841
6882.66762,90.7251952,-163.48518869999998,1216.1047,-25439.4159,4372.6254
6883.32128,94.5239458,-163.5863344,4862.1463,-25575.4314,4605.6038
6883.94545,98.3219048,-163.68592999999998,8569.5355,-25481.1372,4863.5043000000005
6884.53805,102.1190333,-163.782592,12267.9259,-25146.9527,5140.2525000000005
6885.0975,105.9152942,-163.8748298,15898.279400000001,-24582.8489,5433.097900000001
6885.6227,109.7106513,-163.96098569999998,19403.2892,-23804.097400000002,5728.321
6886.11297,113.5050679,-164.0391604,22737.5079,-22841.492400000003,6024.2159
6886.56807,117.2985049,-164.10711759999998,25872.5031,-21729.838600000003,6315.5058
6886.98817,121.0909185,-164.1621561,28794.367700000003,-20501.2317,6600.3687
6887.37377,124.8822571,-164.2009335,31503.7844,-19183.2223,6879.2378
6887.72571,128.6724559,-164.2192144,34007.1672,-17793.027700000002,7149.568700000001
6888.0451299999995,132.46142989999998,-164.2115029,36314.5037,-16333.4847,7415.0005
6888.33344,136.2490628,-164.1704858,38430.6825,-14800.8862,7677.6389
6888.5922199999995,140.0351902,-164.0861644,40348.086800000005,-13183.7001,7936.9956
6888.82316,143.81957169999998,-163.94444299999998,42051.1328,-11467.137,8192.659800000001
6889.028,147.6018427,-163.72473829999998,43503.4551,-9637.168300000001,8445.1369
6889.20845,151.3814305,-163.39570329999998,44657.1854,-7698.9944000000005,8688.915500000001
