time_stamp,radius,colat,lon,X,Y,Z,flags_b,flags_q
6845.311805555555,6890.11591,175.7677273,-43.405418,13070.1787,2265.7110000000002,-38357.266,0,18
6845.3125,6890.06988,172.29283049999998,-28.442991,13884.657000000001,-763.0532000000001,-35697.5771,0,18
6845.313194444445,6890.00584,168.6164736,-23.0628362,14101.5453,-1857.6555,-33030.046500000004,0,6
6845.313888888889,6889.9231500000005,164.8847761,-20.4209232,14102.2279,-2287.8469,-30435.810100000002,0,6
6845.314583333334,6889.8208700000005,161.1303562,-18.9067208,13881.3762,-2511.6838000000002,-27973.870600000002,0,6
6845.315277777778,6889.697929999999,157.3643243,-17.9617009,13447.415500000001,-2650.7518,-25713.688000000002,0,6
6845.315972222223,6889.553089999999,153.59145089999998,-17.3429167,12849.0128,-2741.1415,-23714.633700000002,0,6
6845.316666666667,6889.38486,149.8141034,-16.9280524,12139.958,-2815.3318,-22021.8198,0,6
6845.3173611111115,6889.191610000001,146.0335785,-16.6488904,11392.7248,-2891.2648,-20655.021800000002,0,6
6845.3180555555555,6888.97167,142.2506381,-16.464385999999998,10676.9369,-2978.3667,-19607.9186,0,6
6845.31875,6888.72336,138.4657542,-16.348350399999998,10056.3375,-3085.7643000000003,-18852.137300000002,0,6
6845.319444444444,6888.44504,134.6792312,-16.2832681,9584.0707,-3217.315,-18342.426600000003,0,6
6845.320138888889,6888.13514,130.8912727,-16.2569596,9298.9599,-3376.5274,-18022.6065,0,6
6845.320833333333,6887.79226,127.10201889999999,-16.2606708,9228.5725,-3559.7053,-17832.2197,0,6
6845.321527777778,6887.4152300000005,123.31156999999999,-16.287924,9390.630000000001,-3760.7103,-17710.964200000002,0,6
6845.322222222222,6887.003140000001,119.52,-16.3337991,9798.6975,-3964.5094000000004,-17599.6443,0,6
6845.322916666667,6886.55536,115.7273658,-16.3944659,10462.1314,-4156.4353,-17435.81,0,17
6845.332638888889,6877.15629,62.5414389,-17.6492413,23916.676600000003,-2508.2744000000002,17840.5344,0,0
6845.333333333333,6876.38299,58.7380001,-17.7029317,22984.7933,-2339.322,21459.4908,0,0
6845.334027777778,6875.62166,54.934349000000005,-17.740001799999998,21832.1306,-2201.4880000000003,24805.7782,0,0
6845.334722222222,6874.87821,51.130606,-17.7561061,20515.3711,-2105.6013000000003,27852.5821,0,0
6845.335416666667,6874.1585700000005,47.326918500000005,-17.7455896,19083.9873,-2049.3683,30593.591900000003,0,0
6845.336111111111,6873.46861,43.5234718,-17.700904299999998,17582.323500000002,-2013.6414000000002,33029.0887,0,0
6845.336805555556,6872.81414,39.720507500000004,-17.6116936,16043.0301,-1992.0636000000002,35171.449100000005,0,0
6845.3375,6872.20085,35.9183517,-17.463298899999998,14494.194500000001,-1982.0304,37034.1901,0,0
6845.3381944444445,6871.6341600000005,32.1174659,-17.234213099999998,12967.906200000001,-1966.1151,38633.886900000005,0,0
6845.3388888888885,6871.119140000001,28.318537000000006,-16.8914953,11481.523200000001,-1928.1209000000001,40007.428100000005,0,0
6845.339583333333,6870.66043,24.522652899999997,-16.381953799999998,10045.7678,-1864.3397,41179.3104,0,0
6845.340277777777,6870.2622,20.7316687,-15.613734699999998,8667.23,-1731.9045,42180.096900000004,0,0
