Br;Btheta;Blambda;r
25157.558500000003;-15059.1769;3824.4147000000003;6889.817
22902.016600000003;-15144.9693;3188.67;6889.70736
-45275.7057;-2293.8815;-1972.26;6869.886820000001
-45457.7388;-1933.0822;-1495.6784;6869.73183
-45729.2505;-2040.6402;101.6063;6869.649060000001
-46099.308600000004;-1385.9170000000001;1253.5262;6869.63911
-46534.780900000005;-1791.0172;1088.7017;6869.7019199999995
-46975.1376;-2658.2466;826.3100000000001;6869.836770000001
-47343.5472;-3805.1278;544.5187000000001;6870.042270000001
-47596.948300000004;-5175.822700000001;390.70640000000003;6870.316350000001
-47637.1716;-6815.1853;127.32430000000001;6870.65625
-47382.774000000005;-8630.131300000001;-136.7619;6871.058660000001
-46789.310300000005;-10592.7346;-340.8364;6871.5197800000005
-45823.4259;-12671.253400000001;-509.7855;6872.03531
-44453.575600000004;-14826.973;-645.143;6872.60045
-42659.9125;-17021.2696;-744.2709;6873.21002
-40436.7145;-19206.0173;-810.9895;6873.85859
-37786.3958;-21343.0828;-846.3548000000001;6874.5406
-34716.0164;-23392.941000000003;-856.8699;6875.25024
-31242.1051;-25314.5396;-843.9183;6875.98148
-27389.8492;-27069.8335;-810.7221000000001;6876.72831
-23186.0752;-28617.997600000002;-760.0032;6877.4849
-18675.5741;-29916.2481;-689.8031000000001;6878.24562
-13915.6638;-30927.3103;-605.9251;6879.00509
-8972.9548;-31628.0435;-515.7728000000001;6879.758140000001
-3910.4828;-31999.7249;-429.72740000000005;6880.49991
1198.0287;-32032.306;-360.13;6881.225850000001
6283.4262;-31723.074200000003;-322.1523;6881.93179
11275.0254;-31075.266900000002;-329.94120000000004;6882.61405
16097.845000000001;-30098.792400000002;-399.47860000000003;6883.269560000001
20684.416800000003;-28817.193300000003;-540.5961;6883.89593
24965.2963;-27258.302300000003;-762.8601;6884.4913
28881.839;-25475.2745;-1067.7535;6885.05428
32401.083700000003;-23523.556800000002;-1453.2479;6885.58397
35506.0935;-21463.5425;-1912.4895000000001;6886.07981
38205.313;-19340.831000000002;-2435.1413000000002;6886.54157
40504.6843;-17198.824;-3009.9044000000004;6886.9694
42433.1221;-15082.8256;-3617.8232000000003;6887.363810000001
44032.1958;-13003.313100000001;-4242.0396;6887.72561
45319.8795;-10963.8273;-4871.5215;6888.055770000001
46314.8318;-8967.3385;-5484.8884;6888.3554699999995
