time_stamp,radius,colat,lon,X,Y,Z,flags_b,flags_q,Kp10,dDst,Br,Btheta,Bphi
6832.2875,6889.928650000001,177.51952949999998,-100.61514939999999,5561.8262,10921.5308,-40698.8611,0,18,20.0,2.199904007673079,40698.8611,-5561.8262,10921.5308
6832.288194444444,6889.95082,176.44775429999999,-25.355332699999998,12933.714,-1510.7444,-38651.5198,0,18,20.0,2.1665733408150976,38651.5198,-12933.714,-1510.7444
6832.288888888889,6889.956230000001,173.0877658,-5.230417399999999,12561.7666,-5149.3343,-36399.1751,0,18,20.0,2.133242673913464,36399.1751,-12561.7666,-5149.3343
6832.289583333333,6889.94436,169.434202,1.2752525,12524.3318,-6140.3264,-34014.2228,0,6,20.0,2.099912007055482,34014.2228,-12524.3318,-6140.3264
6832.290277777778,6889.91437,165.7103747,4.3131065,12547.4707,-6428.5378,-31619.1198,0,6,20.0,2.0665813401538484,31619.1198,-12547.4707,-6428.5378
6832.290972222222,6889.86513,161.959592,6.0088835,12469.9007,-6377.7419,-29308.809800000003,0,6,20.0,2.033250673295867,29308.809800000003,-12469.9007,-6377.7419
6832.291666666667,6889.79538,158.19559629999998,7.0515215,12241.026300000001,-6199.9894,-27134.4828,0,6,20.0,1.9999200063942326,27134.4828,-12241.026300000001,-6199.9894
6832.292361111111,6889.70375,154.42404820000002,7.728595899999999,11854.5926,-5941.0419,-25155.206400000003,0,6,20.0,1.966589339536251,25155.206400000003,-11854.5926,-5941.0419
6832.293055555556,6889.58868,150.6476814,8.1809429,11340.3696,-5636.0135,-23417.9167,0,6,20.0,1.9332586726346173,23417.9167,-11340.3696,-5636.0135
6832.31875,6869.90132,10.2914849,15.4128587,4860.7541,741.3375000000001,44566.5628,0,0,19.84999999999127,0.7000239980599041,-44566.5628,-4860.7541,741.3375000000001
6832.319444444444,6869.7190200000005,6.6262867000000085,22.4386911,3528.0535,685.3864,45248.1146,0,0,19.83333333333576,0.6666933312019224,-45248.1146,-3528.0535,685.3864
6832.320138888889,6869.60853,3.3067264000000023,45.2865415,1871.0465000000002,1011.8676,45815.7826,0,0,19.81666666665842,0.6333626643002885,-45815.7826,-1871.0465000000002,1011.8676
6832.320833333333,6869.57083,2.645154000000005,123.8345571,241.51100000000002,680.4993000000001,46235.0235,0,0,19.80000000000291,0.600031997442307,-46235.0235,-241.51100000000002,680.4993000000001
6832.321527777778,6869.60622,5.6653042000000084,158.5559595,1421.2359000000001,89.1907,46474.541600000004,0,0,19.783333333325572,0.566701330540673,-46474.541600000004,-1421.2359000000001,89.1907
