# Expanded and assembled Kp and ap
# created @ 2019-01-15 17:08:01
#   Flags: Definitive, Quicklook
#
#   MJD2000 Kp  ap Flag
  -655.0625 10   4    D
  -654.9375 23   9    D
  -654.8125 27  12    D
  -654.6875 13   5    D
  -654.5625 30  15    D
  -654.4375 17   6    D
  -654.3125  7   3    D
  -654.1875 10   4    D
  -654.0625 23   9    D
  -653.9375  7   3    D
  -653.8125 17   6    D
  -653.6875  7   3    D
  -653.5625  3   2    D
  -653.4375  3   2    D
  -653.3125  7   3    D
  -653.1875  7   3    D
  -653.0625 20   7    D
  -652.9375 13   5    D
  -652.8125  3   2    D
  -652.6875  3   2    D
  -652.5625  7   3    D
  -652.4375 10   4    D
  -652.3125 10   4    D
  -652.1875  7   3    D
  -652.0625 17   6    D
  -651.9375 27  12    D
  -651.8125  7   3    D
  -651.6875 10   4    D
  -651.5625 20   7    D
  -651.4375 20   7    D
  -651.3125 30  15    D
  -651.1875 23   9    D
  -651.0625 23   9    D
  -650.9375 23   9    D
  -650.8125 17   6    D
  -650.6875 23   9    D
  -650.5625 43  32    D
  -650.4375 57  67    D
  -650.3125 63  94    D
  -650.1875 53  56    D
  -650.0625 23   9    D
  -649.9375 20   7    D
  -649.8125 23   9    D
  -649.6875 30  15    D
  -649.5625 37  22    D
  -649.4375 27  12    D
  -649.3125 33  18    D
  -649.1875 27  12    D
  -649.0625 10   4    D
  -648.9375 27  12    D
  -648.8125 27  12    D
  -648.6875  7   3    D
  -648.5625  3   2    D
  -648.4375  7   3    D
  -648.3125  7   3    D
  -648.1875  7   3    D
  -648.0625 17   6    D
  -647.9375  3   2    D
  -647.8125  7   3    D
  -647.6875 20   7    D
  -647.5625 17   6    D
  -647.4375 23   9    D
  -647.3125 13   5    D
  -647.1875 20   7    D
  -647.0625 30  15    D
  -646.9375 23   9    D
  -646.8125 30  15    D
  -646.6875 10   4    D
  -646.5625 23   9    D
  -646.4375 43  32    D
  -646.3125 47  39    D
  -646.1875 27  12    D
  -646.0625 17   6    D
  -645.9375  7   3    D
  -645.8125 17   6    D
  -645.6875  3   2    D
  -645.5625 23   9    D
  -645.4375 37  22    D
  -645.3125 40  27    D
  -645.1875 30  15    D
  -645.0625 23   9    D
  -644.9375 33  18    D
  -644.8125 27  12    D
  -644.6875 33  18    D
  -644.5625 27  12    D
  -644.4375 30  15    D
  -644.3125 30  15    D
  -644.1875 33  18    D
  -644.0625 27  12    D
  -643.9375 23   9    D
  -643.8125 30  15    D
  -643.6875 17   6    D
  -643.5625 30  15    D
  -643.4375 27  12    D
  -643.3125 17   6    D
  -643.1875 17   6    D
  -643.0625 33  18    D
  -642.9375 47  39    D
  -642.8125 40  27    D
  -642.6875 23   9    D
  -642.5625 13   5    D
  -642.4375 23   9    D
  -642.3125 47  39    D
  -642.1875 37  22    D
  -642.0625 27  12    D
  -641.9375 13   5    D
  -641.8125 17   6    D
  -641.6875 27  12    D
  -641.5625 20   7    D
  -641.4375 20   7    D
  -641.3125 23   9    D
  -641.1875 13   5    D
  -641.0625 27  12    D
  -640.9375 33  18    D
  -640.8125 37  22    D
  -640.6875 30  15    D
  -640.5625 13   5    D
  -640.4375 13   5    D
  -640.3125  3   2    D
  -640.1875  0   0    D
  -640.0625 10   4    D
  -639.9375 13   5    D
  -639.8125 13   5    D
  -639.6875 13   5    D
  -639.5625  3   2    D
  -639.4375  0   0    D
  -639.3125  3   2    D
  -639.1875 10   4    D
  -639.0625  0   0    D
  -638.9375  3   2    D
  -638.8125  0   0    D
  -638.6875  3   2    D
  -638.5625  0   0    D
  -638.4375  7   3    D
  -638.3125  3   2    D
  -638.1875 10   4    D
  -638.0625 23   9    D
  -637.9375 20   7    D
  -637.8125 13   5    D
  -637.6875 17   6    D
  -637.5625  3   2    D
  -637.4375 13   5    D
  -637.3125 27  12    D
  -637.1875 13   5    D
  -637.0625 10   4    D
  -636.9375 23   9    D
  -636.8125 33  18    D
  -636.6875 23   9    D
  -636.5625 13   5    D
  -636.4375 17   6    D
  -636.3125 20   7    D
  -636.1875  7   3    D
  -636.0625 20   7    D
  -635.9375 17   6    D
  -635.8125  7   3    D
  -635.6875 10   4    D
  -635.5625  7   3    D
  -635.4375  7   3    D
  -635.3125  7   3    D
  -635.1875  7   3    D
  -635.0625  0   0    D
  -634.9375 13   5    D
  -634.8125  0   0    D
  -634.6875  3   2    D
  -634.5625 13   5    D
  -634.4375 20   7    D
  -634.3125 10   4    D
  -634.1875 17   6    D
  -634.0625  7   3    D
  -633.9375 20   7    D
  -633.8125 17   6    D
  -633.6875 10   4    D
  -633.5625  3   2    D
  -633.4375 13   5    D
  -633.3125 27  12    D
  -633.1875 27  12    D
  -633.0625 30  15    D
  -632.9375 27  12    D
  -632.8125 20   7    D
  -632.6875 13   5    D
  -632.5625  3   2    D
  -632.4375  3   2    D
  -632.3125 10   4    D
  -632.1875 30  15    D
  -632.0625 17   6    D
  -631.9375 17   6    D
  -631.8125 20   7    D
  -631.6875 20   7    D
  -631.5625 17   6    D
  -631.4375 17   6    D
  -631.3125 17   6    D
  -631.1875 20   7    D
  -631.0625 17   6    D
  -630.9375 23   9    D
  -630.8125 27  12    D
  -630.6875 20   7    D
  -630.5625 17   6    D
  -630.4375 13   5    D
  -630.3125 40  27    D
  -630.1875 40  27    D
  -630.0625 43  32    D
  -629.9375 33  18    D
  -629.8125 20   7    D
  -629.6875 23   9    D
  -629.5625 20   7    D
  -629.4375 20   7    D
  -629.3125 27  12    D
  -629.1875 27  12    D
  -629.0625 33  18    D
  -628.9375 40  27    D
  -628.8125 33  18    D
  -628.6875 13   5    D
  -628.5625 20   7    D
  -628.4375  7   3    D
  -628.3125 10   4    D
  -628.1875 10   4    D
  -628.0625 13   5    D
  -627.9375  7   3    D
  -627.8125 13   5    D
  -627.6875  3   2    D
  -627.5625  0   0    D
  -627.4375  3   2    D
  -627.3125  3   2    D
  -627.1875 20   7    D
  -627.0625 27  12    D
  -626.9375 17   6    D
  -626.8125 27  12    D
  -626.6875 17   6    D
  -626.5625 13   5    D
  -626.4375 20   7    D
  -626.3125 20   7    D
  -626.1875  7   3    D
  -626.0625  7   3    D
  -625.9375  3   2    D
  -625.8125 13   5    D
  -625.6875 10   4    D
  -625.5625 10   4    D
  -625.4375  3   2    D
  -625.3125  7   3    D
  -625.1875  7   3    D
  -625.0625 13   5    D
  -624.9375 20   7    D
  -624.8125  7   3    D
  -624.6875 20   7    D
  -624.5625 23   9    D
  -624.4375 17   6    D
  -624.3125  7   3    D
  -624.1875  7   3    D
  -624.0625 27  12    D
  -623.9375 20   7    D
  -623.8125 30  15    D
  -623.6875 27  12    D
  -623.5625 30  15    D
  -623.4375 40  27    D
  -623.3125 30  15    D
  -623.1875 33  18    D
  -623.0625 10   4    D
  -622.9375 10   4    D
  -622.8125 10   4    D
  -622.6875 23   9    D
  -622.5625 30  15    D
  -622.4375 20   7    D
  -622.3125  7   3    D
  -622.1875  7   3    D
  -622.0625  0   0    D
  -621.9375  0   0    D
  -621.8125  0   0    D
  -621.6875  3   2    D
  -621.5625  3   2    D
  -621.4375 10   4    D
  -621.3125 20   7    D
  -621.1875 27  12    D
  -621.0625 20   7    D
  -620.9375  7   3    D
  -620.8125 23   9    D
  -620.6875 27  12    D
  -620.5625 20   7    D
  -620.4375 37  22    D
  -620.3125 10   4    D
  -620.1875 10   4    D
  -620.0625 27  12    D
  -619.9375 20   7    D
  -619.8125 27  12    D
  -619.6875 10   4    D
  -619.5625 17   6    D
  -619.4375 17   6    D
  -619.3125 17   6    D
  -619.1875 13   5    D
  -619.0625 20   7    D
  -618.9375  7   3    D
  -618.8125 27  12    D
  -618.6875 10   4    D
  -618.5625  7   3    D
  -618.4375 17   6    D
  -618.3125 17   6    D
  -618.1875 17   6    D
  -618.0625 20   7    D
  -617.9375 17   6    D
  -617.8125 27  12    D
  -617.6875 23   9    D
  -617.5625 10   4    D
  -617.4375  7   3    D
  -617.3125  7   3    D
  -617.1875 50  48    D
  -617.0625 43  32    D
  -616.9375 47  39    D
  -616.8125 57  67    D
  -616.6875 53  56    D
  -616.5625 47  39    D
  -616.4375 47  39    D
  -616.3125 20   7    D
  -616.1875 20   7    D
  -616.0625 40  27    D
  -615.9375 50  48    D
  -615.8125 40  27    D
  -615.6875 30  15    D
  -615.5625 30  15    D
  -615.4375 40  27    D
  -615.3125 33  18    D
  -615.1875 50  48    D
  -615.0625 27  12    D
  -614.9375 47  39    D
  -614.8125 47  39    D
  -614.6875 37  22    D
  -614.5625 33  18    D
  -614.4375 50  48    D
  -614.3125 47  39    D
  -614.1875 30  15    D
  -614.0625 40  27    D
  -613.9375 40  27    D
  -613.8125 37  22    D
  -613.6875 23   9    D
  -613.5625 27  12    D
  -613.4375 23   9    D
  -613.3125 13   5    D
  -613.1875 20   7    D
  -613.0625 13   5    D
  -612.9375 30  15    D
  -612.8125 23   9    D
  -612.6875 17   6    D
  -612.5625 17   6    D
  -612.4375 17   6    D
  -612.3125 17   6    D
  -612.1875 20   7    D
  -612.0625 23   9    D
  -611.9375 17   6    D
  -611.8125 13   5    D
  -611.6875  7   3    D
  -611.5625 10   4    D
  -611.4375 10   4    D
  -611.3125 10   4    D
  -611.1875  7   3    D
  -611.0625 17   6    D
  -610.9375 17   6    D
  -610.8125  7   3    D
  -610.6875  7   3    D
  -610.5625 27  12    D
  -610.4375 33  18    D
  -610.3125 40  27    D
  -610.1875 30  15    D
  -610.0625 30  15    D
  -609.9375 13   5    D
  -609.8125 17   6    D
  -609.6875 17   6    D
  -609.5625 10   4    D
  -609.4375 20   7    D
  -609.3125 13   5    D
  -609.1875 17   6    D
  -609.0625 43  32    D
  -608.9375 33  18    D
  -608.8125 50  48    D
  -608.6875 47  39    D
  -608.5625 60  80    D
  -608.4375 67 111    D
  -608.3125 60  80    D
  -608.1875 50  48    D
  -608.0625 60  80    D
  -607.9375 60  80    D
  -607.8125 60  80    D
  -607.6875 53  56    D
  -607.5625 43  32    D
  -607.4375 50  48    D
  -607.3125 47  39    D
  -607.1875 60  80    D
  -607.0625 60  80    D
  -606.9375 60  80    D
  -606.8125 87 300    D
  -606.6875 83 236    D
  -606.5625 57  67    D
  -606.4375 60  80    D
  -606.3125 37  22    D
  -606.1875 23   9    D
  -606.0625 30  15    D
  -605.9375 33  18    D
  -605.8125 67 111    D
  -605.6875 47  39    D
  -605.5625 27  12    D
  -605.4375 53  56    D
  -605.3125 57  67    D
  -605.1875 40  27    D
  -605.0625 20   7    D
  -604.9375 13   5    D
  -604.8125 13   5    D
  -604.6875 10   4    D
  -604.5625 10   4    D
  -604.4375 20   7    D
  -604.3125 13   5    D
  -604.1875  7   3    D
  -604.0625 23   9    D
  -603.9375 27  12    D
  -603.8125 27  12    D
  -603.6875 10   4    D
  -603.5625 30  15    D
  -603.4375 23   9    D
  -603.3125 20   7    D
  -603.1875 20   7    D
  -603.0625 30  15    D
  -602.9375 40  27    D
  -602.8125 33  18    D
  -602.6875 33  18    D
  -602.5625 40  27    D
  -602.4375 43  32    D
  -602.3125 43  32    D
  -602.1875 33  18    D
  -602.0625 23   9    D
  -601.9375 13   5    D
  -601.8125 33  18    D
  -601.6875 33  18    D
  -601.5625 13   5    D
  -601.4375 20   7    D
  -601.3125 33  18    D
  -601.1875 37  22    D
  -601.0625 23   9    D
  -600.9375 13   5    D
  -600.8125 10   4    D
  -600.6875 27  12    D
  -600.5625 30  15    D
  -600.4375 30  15    D
  -600.3125 23   9    D
  -600.1875 27  12    D
  -600.0625 23   9    D
  -599.9375 23   9    D
  -599.8125 23   9    D
  -599.6875 23   9    D
  -599.5625 23   9    D
  -599.4375 17   6    D
  -599.3125 23   9    D
  -599.1875 30  15    D
  -599.0625 37  22    D
  -598.9375 37  22    D
  -598.8125 33  18    D
  -598.6875 30  15    D
  -598.5625 27  12    D
  -598.4375 23   9    D
  -598.3125 23   9    D
  -598.1875 30  15    D
  -598.0625 13   5    D
  -597.9375 17   6    D
  -597.8125 13   5    D
  -597.6875 17   6    D
  -597.5625  7   3    D
